Knapsack;Items;Brute force Algorithm;Greedy Algorithm;Dynamic Programming Algorithm
10;4;10700;2000;2000
10;4;4100;1100;1000
10;4;3200;700;1200
10;4;2800;800;500
10;4;2800;500;900
10;4;2500;300;600
10;4;3100;400;500
10;4;3500;300;500
10;4;2800;700;500
10;4;2700;500;400
10;5;7000;500;1300
10;5;5200;300;700
10;5;5000;500;600
10;5;4800;300;500
10;5;4900;400;1100
10;5;5100;400;500
10;5;4700;400;600
10;5;4800;300;600
10;5;11300;400;500
10;5;4900;400;500
10;6;9800;500;1100
10;6;9600;500;700
10;6;9300;400;700
10;6;9400;400;700
10;6;9400;400;700
10;6;9300;400;700
10;6;9400;400;700
10;6;9300;400;700
10;6;9300;400;700
10;6;9300;400;700
10;7;21900;900;1000
10;7;19600;600;800
10;7;19300;600;700
10;7;19200;600;700
10;7;19200;600;800
10;7;19200;600;700
10;7;19300;500;800
10;7;19200;600;700
10;7;19200;500;600
10;7;19400;500;600
10;8;42000;700;900
10;8;120600;900;800
10;8;51900;800;800
10;8;40100;700;800
10;8;40000;600;700
10;8;40000;500;700
10;8;39900;600;700
10;8;39100;500;600
10;8;32100;400;600
10;8;32100;500;600
10;9;69200;700;2000
10;9;68600;1100;1000
10;9;64700;700;1400
10;9;69600;600;1000
10;9;79300;600;1100
10;9;64400;500;1000
10;9;64800;600;1000
10;9;65200;600;1000
10;9;66700;600;900
10;9;64200;500;1600
10;10;128400;1000;1400
10;10;134800;700;1400
10;10;125900;600;1400
10;10;125700;700;900
10;10;125800;600;1300
10;10;125900;700;1100
10;10;126000;600;1000
10;10;125700;700;1000
10;10;126200;700;1000
10;10;126600;600;1100
10;11;283000;800;1600
10;11;285700;1000;1200
10;11;258200;800;1300
10;11;257300;700;1100
10;11;257800;600;1100
10;11;257300;900;1100
10;11;257100;600;1100
10;11;257200;700;1100
10;11;257300;700;1100
10;11;257100;700;1100
10;12;566300;900;1200
10;12;647700;1000;1500
10;12;595200;1100;4200
10;12;692400;1000;1400
10;12;574600;1100;1500
10;12;560000;1100;1300
10;12;558600;900;1300
10;12;558500;900;1200
10;12;571300;1200;1300
10;12;527800;1000;1300
10;13;1179700;1200;1400
10;13;1142200;1100;1600
10;13;1167200;1000;1500
10;13;1279100;2600;3000
10;13;1159600;1500;1700
10;13;1324800;1200;1700
10;13;1103500;1100;1700
10;13;1078400;1000;1500
10;13;1065000;1000;1400
10;13;1065600;800;1500
10;14;2483200;1200;1700
10;14;2834400;4700;3200
10;14;2350600;2000;2000
10;14;2389100;1400;1600
10;14;2355400;1600;1500
10;14;2312300;1200;1400
10;14;2310700;1100;1400
10;14;2562600;2200;2400
10;14;2324800;1300;1700
10;14;2325200;1300;1700
20;4;2400;500;1100
20;4;1900;400;800
20;4;1700;300;500
20;4;1900;200;500
20;4;1800;300;500
20;4;1800;300;400
20;4;1800;300;500
20;4;1800;200;400
20;4;1700;300;400
20;4;1700;200;400
20;5;4000;400;600
20;5;3700;400;600
20;5;3600;300;500
20;5;3600;300;700
20;5;3600;300;500
20;5;3800;300;500
20;5;3600;300;500
20;5;3700;300;600
20;5;3600;300;500
20;5;3700;400;600
20;6;7600;400;800
20;6;7400;500;700
20;6;7300;300;600
20;6;7300;300;600
20;6;7200;400;700
20;6;7300;300;600
20;6;7300;300;700
20;6;7200;300;600
20;6;7200;400;700
20;6;7300;400;700
20;7;15600;600;1100
20;7;16200;600;1000
20;7;15200;500;700
20;7;15100;500;600
20;7;15000;400;600
20;7;15000;500;600
20;7;15000;500;600
20;7;15100;500;600
20;7;15100;500;700
20;7;15100;400;600
20;8;31700;500;800
20;8;31400;500;800
20;8;31300;500;800
20;8;31300;500;800
20;8;31400;500;700
20;8;31400;500;700
20;8;31400;500;800
20;8;31300;400;700
20;8;31600;500;700
20;8;31300;400;800
20;9;63300;600;1000
20;9;63300;500;1100
20;9;63300;500;800
20;9;63200;500;800
20;9;63100;500;800
20;9;63300;500;800
20;9;87100;700;800
20;9;63500;500;800
20;9;63300;500;800
20;9;63200;500;800
20;10;227600;900;1100
20;10;141300;600;1500
20;10;124800;600;1000
20;10;124800;600;900
